quote_id,degree_id,code
1526,131,Mission
275,131,Target group
2336,131,Skills
533,131,Skills
533,131,Impact
1918,132,Skills
1187,132,Industry
1801,133,Impact
3013,133,Tools
3013,133,Skills
1800,133,Interdisciplinary
2236,133,Target group
1704,133,Target group
1232,133,Courses
2733,133,Courses
1797,133,Courses
2216,134,NA
2294,134,Skills
3355,134,Courses
1780,135,Courses
424,135,Skills
613,137,Courses
664,137,Mission
3138,137,Impact
3138,137,Impact
2946,138,Mission
305,138,Courses
2698,139,Mission
1330,139,Target group
2894,139,Skills
2481,139,Requirements
1739,139,Courses
1950,139,Requirements
2849,140,Impact
2849,140,Mission
2325,140,Skills
1753,140,Courses
1415,140,Skills
652,143,Courses
1694,143,Skills
3311,144,NA
3311,144,Skills
1828,144,Requirements
683,144,[??]
716,144,Skills
716,144,Courses
888,144,Skills
888,144,Courses
888,144,Tools
889,144,Courses
889,144,Skills
889,144,Tools
890,144,Tools
890,144,Courses
2654,144,Impact
2654,144,Skills
2974,144,[??]
884,144,[??]
3188,144,[??]
2668,145,Interdisciplinary
390,145,Skills
2228,145,Requirements
2131,145,Courses
1561,145,Ethical issues
2345,145,Requirements
980,145,Courses
366,146,Target group
2848,146,Mission
1022,146,Skills
1233,146,Requirements
977,146,Courses
1559,147,Courses
2033,149,Courses
2032,149,Requirements
449,149,Requirements
3012,149,Requirements
1241,149,Requirements
3156,149,Skills
3156,149,Mission
1870,149,Mission
1870,149,Skills
2734,152,Mission
3195,152,Skills
2605,152,Skills
2626,152,Ethical issues
1728,152,Courses
2754,153,Mission
387,153,Requirements
1864,153,Mission
389,153,Requirements
2816,153,Requirements
525,153,Courses
1742,154,Impact
1742,154,Mission
659,154,Skills
1126,157,Requirements
1552,157,Courses
2406,157,Skills
2406,157,Mission
2847,158,Target group
2530,158,Jobs
2530,158,Mission
133,158,Skills
139,158,Jobs
1092,158,Definition
1418,158,Jobs
833,158,Courses
1253,158,Courses
3243,159,Skills
1772,160,Courses
2419,160,Mission
2419,160,Impact
2420,160,Skills
2713,162,Mission
698,162,Impact
1389,162,Courses
1335,162,Requirements
834,162,Requirements
963,162,Courses
1243,162,Requirements
1773,162,Courses
2937,166,Skills
2050,166,Courses
2012,166,[??]
244,166,NA
244,166,NA
2868,148,Mission
529,148,Courses
1843,148,Courses
680,156,Mission
640,156,Courses
2083,156,Requirements
1640,167,Skills
2843,169,Mission
1544,169,Requirements
1354,169,Skills
1354,169,Impact
787,169,Interdisciplinary
787,169,NA
1001,170,Fluff
1542,170,Skills
3229,170,Impact
708,170,Jobs
708,170,Skills
708,170,Broader impact
1959,170,Broader impact
1397,170,Impact
1397,170,co-op
3213,170,Impact
3213,170,Skills
3105,172,Mission
422,172,Impact
1648,172,Skills
1376,172,Requirements
1620,172,Courses
1619,172,Courses
729,172,Requirements
1250,172,Requirements
1179,172,Courses
872,173,Requirements
2026,173,Courses
2736,173,Impact
3209,173,Skills
2616,176,Impact
2616,176,Mission
3319,176,Mission
3319,176,Impact
3319,176,Broader impact
3319,176,Ethical issues
1817,176,Interdisciplinary
2235,176,Broader impact
2235,176,Law-policy
254,176,Skills
254,176,Impact
254,176,Law-policy
1393,176,Courses
1937,176,Law-policy
1613,177,Requirements
2757,177,Skills
1789,177,Requirements
1068,177,Courses
3037,178,Mission
807,178,Courses
2535,179,Tools
1256,179,[??]
1923,179,Impact
3347,179,Interdisciplinary
150,179,Courses
162,179,Requirements
157,179,Courses
170,179,Requirements
180,179,Requirements
3344,179,Broader impact
3390,179,Broader impact
3390,179,Skills
3344,179,Broader impact
3345,180,Fluff
1946,175,Skills
1946,175,Mission
707,175,Skills
1946,175,Mission
435,175,Jobs
864,175,Skills
1428,175,Skills
1582,175,Courses
265,181,Interdisciplinary
3324,181,Mission
3324,181,Interdisciplinary
3324,181,Impact
783,181,Broader impact
783,181,Impact
365,181,Skills
365,181,Mission
2457,181,Requirements
1573,181,Courses
2457,181,Requirements
365,181,NA
2908,183,Mission
1345,183,Requirements
965,183,Courses
1984,183,Requirements
966,183,Courses
2201,183,Requirements
1806,183,Courses
788,183,Requirements
2125,183,Courses
1935,183,Courses
2004,183,Courses
728,183,Requirements
2126,183,Courses
1511,182,Fluff
2221,182,Requirements
3346,182,Interdisciplinary
110,182,Skills
110,182,Definition
4,182,Courses
157,182,Courses
2188,182,Tools
868,184,Courses
2696,184,Target group
2518,184,Mission
2332,184,Impact
2332,184,Skills
2332,184,Skills
2332,184,Impact
2301,184,Courses
2695,185,Target group
2718,185,Mission
2718,185,Skills
2482,185,Skills
479,185,Skills
1548,185,Skills
1314,185,Skills
867,185,Courses
2079,185,Courses
3168,186,Skills
3168,186,Mission
1757,186,Courses
1758,187,Courses
700,187,Definition
2297,187,Skills
2297,187,Impact
879,194,Courses
1284,194,Ethical issues
1355,194,Ethical issues
1284,194,Ethical issues
2858,194,Mission
517,194,Skills
413,194,Interdisciplinary
660,194,Skills
660,194,Impact
660,194,Jobs
2651,188,Mission
856,188,Requirements
343,188,Courses
821,188,Requirements
344,188,Courses
1251,188,Requirements
350,188,Courses
638,197,Mission
1885,197,Target group
3388,197,Impact
3388,197,Industry
1499,197,Skills
1499,197,Impact
1293,197,Impact
3099,197,Target group
1500,197,Impact
1500,197,Skills
3185,197,Requirements
1684,197,Courses
929,198,Courses
2867,198,Impact
2867,198,Mission
1609,198,Skills
2740,195,Skills
2740,195,Mission
2473,195,Tools
2473,195,Skills
2961,195,Industry
3106,195,Jobs
2062,195,Courses
690,195,Ethical issues
2662,199,Requirements
3130,199,Mission
3157,201,Impact
3157,201,Skills
1712,201,Mission
3166,202,Skills
3177,202,Ethical issues
2766,202,Requirements
2977,203,Industry
2977,203,Interdisciplinary
475,203,Mission
1230,203,Jobs
1230,203,Mission
2838,203,Mission
735,203,Jobs
3224,203,Impact
557,203,NA
1495,203,Industry
1316,203,Skills
1495,203,NA
1043,204,Courses
3287,204,Tools
2115,204,Tools
252,204,Tools
2150,204,Tools
1403,204,Jobs
3101,204,Skills
2680,204,Skills
2599,205,Mission
2967,205,[??]
3163,207,Requirements
398,207,Courses
1003,207,Requirements
711,207,Mission
547,207,Interdisciplinary
362,207,Interdisciplinary
