degree_id,degree_level,degree_name,degree_type,degree_url,degree_category,degree_data_sci_flag,department_name,department_type,institution_name,institution_carnegie,institution_state,institution_city
609,masters,M.S. in Data Science,Data Science,https://ritchieschool.du.edu/academics-education/gr-programs/ms-data-science,Data,TRUE,Ritchie School of Engineering and Computer Science,Interdisciplinary,University of Denver,R2,CO,Denver
610,masters,Master of Science in Applied Statistics – Data Science,Data Science,https://csh.depaul.edu/academics/mathematical-sciences/graduate/applied-statistics-ms/Pages/default.aspx,Math,TRUE,College of Science & Health,Interdisciplinary,DePaul University,R2,IL,Chicago
611,masters,M.S. in Data Science,Data Science,https://drexel.edu/cci/academics/graduate-programs/ms-in-data-science/,Data,TRUE,College of Computing and Informatics,Interdisciplinary,Drexel University,R2,PA,Philadelphia
613,masters,Master in Interdisciplinary Data Science,Data Science,https://datascience.duke.edu/,Data,TRUE,Information Initiative at Duke and the Social Science Research Institute,Information,Duke University,R1,NC,Durham
615,certificate,Professional Certificate in Big Data and Data Science,Data Science,https://learnmore.duke.edu/certificates/big-data-and-data-science-online-program,Data,TRUE,Continuing Studies,Other,Duke University,R1,NC,Durham
625,masters,Master of Science in Computer Science - Data Science concentration,Data Science,http://www.cs.emory.edu/graduate/degrees/,Data,TRUE,Computer Science and Informatics,Interdisciplinary,Emory University,R1,GA,Atlanta
626,masters,M.S. in Business Analytics,Business Analytics,https://goizueta.emory.edu/msba,Business,FALSE,Goizueta Business School,Business/Management,Emory University,R1,GA,Atlanta
629,masters,MS in Business Analytics,Business Analytics,https://www.fairfield.edu/graduate-and-professional-studies/charles-f-dolan-school-of-business/masters-business-analytics/,Business,FALSE,Dolan School of Business,Business/Management,Fairfield University,M1,CT,Fairfield
630,masters,Master of Science in Computer Science-Data Science,Data Science,https://www.fitchburgstate.edu/academics/graduate-studies/graduate-programs/computer-science/data-science-concentration/,Data,TRUE,Department of Computer Science,Computer Science,Fitchburg State University,M1,MA,Fitchburg
631,certificate,Graduate Certificate in Big Data Analytics,Data Analytics,https://business.fau.edu/masters-phd/master-of-science/ms-in-information-technology-management/itm/big-data-analytics-graduate-certificate/#.V-qPHJMrKRt,Data,FALSE,College of Business,Business/Management,Florida Atlantic University,R2,FL,Boca Raton
632,certificate,Graduate Certificate in Data Science,Data Science,http://catalog.fit.edu/preview_program.php?catoid=5&poid=2115&returnto=138,Data,TRUE,School of Computing,Computer Science,Florida Institute of Technology,R2,FL,Melbourne
633,masters,M.S. in Data Science,Data Science,https://www.cis.fiu.edu/academics/degrees/graduate/master-of-science-in-data-science/,Data,TRUE,School of Computing and Information Sciences,Information,Florida International University,R1,FL,Miami
634,masters,M.S. in Business Analytics,Business Analytics,https://business.fsu.edu/msba,Business,FALSE,College of Business,Business/Management,Florida State University,R1,FL,Tallahassee
635,masters,Master of Science in Statistics-Statistical Data Science,Data Science,https://stat.fsu.edu/graduate-program/master-science-degree,Math,TRUE,Department of Statistics,Mathematics/Statistics,Florida State University,R1,FL,Tallahassee
636,masters,M.S. in Data Analytics,Data Analytics,https://www.fordham.edu/info/25661/master_of_science_in_data_analytics,Data,FALSE,Graduate School of Arts and Sciences,Interdisciplinary,Fordham University,R2,NY,Bronx
637,bachelors,Computational and Data Sciences,Data Science,https://catalog.gmu.edu/colleges-schools/science/computational-data-sciences/computational-data-sciences-bs/,Data,TRUE,Computational and Data Sciences,Data Science,George Mason University,R1,VA,Fairfax
